6cm-angle(deg),6cm-amp(mA),6cm-amp-uct(mA),9cm-angle(deg),9cm-amp(mA),9cm-amp-uct(mA)
0,6.959,0.0627972929352851,0,1.2394,0.0217554590850205
5,2.2972,0.0457515027075616,5,0.19036,0.00207074865688717
10,0.080926,0.00360917303547503,10,0.001082,0.000166343019090072
15,0.013218,0.000483704455220334,15,1.2482,0.0128335497817244
20,9.1302,0.133591541648414,20,0.27488,0.00136271787248865
25,0.16434,0.000814248119432886,25,0.00027,0.000171318416990118
30,0.7315,0.0144549299548631,30,0.2058,0.000891627725006351
35,0.00121,8.80E-05,35,0.67522,0.00674625822215546
40,0.13388,0.00252031744032374,40,0.065952,0.0010761366084285
45,1.6518,0.0145842380671738,45,0.003194,0.000290396280967921
50,2.9992,0.0121531888819354,50,0.075836,0.000579378977871997
55,0.62124,0.0037206182281981,55,0.22798,0.00162080227048212
60,0.053774,0.000746478398883717,60,0.14028,0.00158650559406515
65,0.010228,0.000242218909253593,65,0.029012,0.000250738908029847
70,0.006156,0.000394182698757822,70,0.005856,0.000173579952759528
75,0.005478,0.000217416650696307,75,0.006732,0.000105451410611713
80,0.00341,0.000143178210632764,80,0.00851,0.000245662369930765
